,index,timestamp,coursename,degree,heard_hs_counselor,heard_hs_teacher,heard_it_website,heard_ccm_admissions,heard_employer,heard_work_dev,heard_nj_work_dev,first_choice,interest_level,race,gender
418,120,2021/10/08 2:47:14 PM EST,CMP 239 Internet & Web Page Design,Information Technology,Don't recall,No,Yes,No,No,No,No,First Choice,,White/Caucasian,Man
419,121,2021/10/08 3:21:17 PM EST,CMP 128 Computer Science I,Information Technology,No,No,Yes,Yes,Yes,No,No,Engineering,,Asian,Man
420,122,2021/10/08 3:21:53 PM EST,CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,3.0,White/Caucasian,Woman
421,123,2021/10/08 3:21:59 PM EST,CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
422,124,2021/10/08 3:22:04 PM EST,CMP 128 Computer Science I,Computer Science,No,No,No,Yes,No,No,No,First Choice,,Hispanic or Latino,Man
423,125,2021/10/08 3:23:06 PM EST,CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,First Choice,,Black/African American,Woman
424,126,2021/10/08 3:26:14 PM EST,CMP 128 Computer Science I,Undecided,,,,,,,,,4.0,Asian,Woman
425,127,2021/10/08 3:29:13 PM EST,CMP 128 Computer Science I,Digital Media Technology,No,No,No,Yes,Yes,No,No,First Choice,,White/Caucasian,Man
426,128,2021/10/08 3:32:20 PM EST,CMP 128 Computer Science I,Computer Science,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,American Indian/Native American/Alaska Native,Woman
427,129,2021/10/08 5:11:26 PM EST,CMP 128 Computer Science I,Computer Science,No,No,No,Yes,No,No,No,First Choice,,Asian,Woman
428,130,2021/10/09 12:37:29 PM EST,CMP 128 Computer Science I,Liberal Arts Program,,,,,,,,,4.0,White/Caucasian,Woman
429,131,2021/10/09 12:44:15 PM EST,CMP 128 Computer Science I,Visiting student,,,,,,,,,4.0,Hispanic or Latino,Woman
430,132,2021/10/09 3:00:36 PM EST,CMP 128 Computer Science I,CIS Game Development Option,No,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Woman
431,133,2021/10/09 5:37:37 PM EST,CMP 128 Computer Science I,Web Development Certificate of Achievement,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,,,White/Caucasian,Man
432,134,2021/10/09 6:19:22 PM EST,CMP 128 Computer Science I,Computer Science,No,No,Yes,No,No,No,No,nursing,,Choose not to reply,Man
433,135,2021/10/10 3:29:21 PM EST,CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,4.0,Multi-Racial,Man
434,136,2021/10/10 6:57:35 PM EST,CMP 128 Computer Science I,Information Technology,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
435,137,2021/10/10 8:55:25 PM EST,CMP 239 Internet & Web Page Design,Digital Media Technology,No,No,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Man
436,138,2021/10/10 9:06:35 PM EST,CMP 239 Internet & Web Page Design,Digital Media Technology,Yes,Yes,No,No,No,No,No,First Choice,,White/Caucasian,Man
437,139,2021/10/10 10:02:43 PM EST,CMP 128 Computer Science I,EDAM Sharetime Program,,,,,,,,,4.0,White/Caucasian,Man
438,140,2021/10/10 10:03:30 PM EST,CMP 128 Computer Science I,EDam Share time,,,,,,,,,3.0,White/Caucasian,Man
439,141,2021/10/10 10:04:36 PM EST,CMP 128 Computer Science I,EDAM student,,,,,,,,,3.0,Multi-Racial,Man
440,142,2021/10/11 1:35:11 AM EST,CMP 128 Computer Science I,Business Management,,,,,,,,,2.0,White/Caucasian,Man
441,143,2021/10/11 4:31:03 AM EST,CMP 128 Computer Science I,Computer Science,No,No,No,No,Yes,Yes,Yes,First Choice,,Asian,Woman
442,144,2021/10/11 9:27:03 AM EST,CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,5.0,Asian,Woman
443,145,2021/10/11 12:46:50 PM EST,CMP 128 Computer Science I,ShareTime EDAM,,,,,,,,,5.0,White/Caucasian,Man
444,146,2021/10/11 1:20:36 PM EST,CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,3.0,Asian,Woman
445,147,2021/10/11 1:34:55 PM EST,CMP 128 Computer Science I,Challenger Program,No,No,Yes,No,No,No,No,First Choice,,Hispanic or Latino,Woman
446,148,2021/10/11 5:54:35 PM EST,CMP 131 Fundamentals of Programming (Python),Information Technology,No,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
447,149,2021/10/11 5:58:29 PM EST,CMP 239 Internet & Web Page Design,Information Technology,Yes,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
448,150,2021/10/11 7:28:50 PM EST,CMP 128 Computer Science I,Engineering Design and Advanced Manufacturing. ,,,,,,,,,1.0,White/Caucasian,Man
449,151,2021/10/11 9:26:00 PM EST,CMP 130 Intro to IT,Information Technology,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,White/Caucasian,Man
450,152,2021/10/12 8:28:54 AM EST,CMP 130 Intro to IT,Information Technology,Yes,Yes,No,No,No,No,No,First Choice,,White/Caucasian,Prefer not to say
451,153,2021/10/12 10:16:01 AM EST,CMP 120 Foundations of Information Security,Information Technology,No,No,Yes,No,No,No,No,Engineering,,Asian,Man
452,154,2021/10/12 10:16:48 AM EST,CMP 120 Foundations of Information Security,Information Technology,No,No,Yes,No,No,No,No,Nursing,,Hispanic or Latino,Woman
453,155,2021/10/12 12:18:30 PM EST,CMP 128 Computer Science I,CIS Game Development Option,Don't recall,Don't recall,Yes,Yes,No,Don't recall,No,First Choice,,White/Caucasian,Man
454,156,2021/10/12 12:21:18 PM EST,CMP 131 Fundamentals of Programming (Python),Information Technology,Yes,Yes,Yes,Yes,No,Yes,No,First Choice,,Hispanic or Latino,Woman
455,157,2021/10/12 12:43:51 PM EST,CMP 131 Fundamentals of Programming (Python),Information Technology,Don't recall,Don't recall,Don't recall,Yes,No,No,No,I started out with Computer Science and then switched to IT,,White/Caucasian,Man
